Name,House Number,Street,City,Postcode
San Francisco,,,,
Woods Lowside,530,Haight Street,San Francisco,
Toronado,547,Haight Street,,
Molotov's,582,Haight Street,,
Noc Noc,557,Haight Street,,
Danny Coyles,668,Haight Street,San Francisco,94117
The Page,298,Divisadero Street,San Francisco,
Martuni's,4,Valencia Street,San Francisco,94103
Hobson's Choice,1601,Haight Street,,94117
The Gold Cane,1569,Haight Street,,
Club Deluxe,1511,Haight Street,San Francisco,94117
Trax,1437,Haight Street,,
Aub Zam Zam,1633,Haight Street,,
United States Post Office - Gateway Station,,,,94111
Comstock Saloon,155,Columbus Avenue,San Francisco,
Mr. Bing's,201,Columbus Avenue,San Francisco,
Irish Times,500,Sacramento Street,,
Old Ship Saloon,,,,
Rose Garden,,,,
O'Shaughnessy Boulevard & Malta Drive,,,,
3rd Street & Mariposa Street,,,,
Diamond Street & Moffitt Street,,,,
Laguna Honda Boulevard & Idora Avenue,,,,
Teresita Boulevard & Isola Way,,,,
Anza Avenue & Lincoln Boulevard,,,,
Evans Avenue & Napoleon Street,,,,
Dragon's Gate,401,Grant Avenue,San Francisco,
O'Shaughnessy Boulevard & Del Vale Avenue,,,,
Corbett Avenue & Danvers Street,,,,
201 Bayshore Boulevard,,,,
Chenery Street & Randall Street,,,,
Ellsworth Street & Crescent Avenue,,,,
410 Washington Boulevard,,,,
Roosevelt Way & Lower Terrace,,,,
967 Connecticut Street,,,,
Richmond District,,,,
Opera Plaza Cinema,601,Van Ness Avenue,San Francisco,94102
Marina District,,,,
Friendship Village,,,,
Haight-Ashbury,,,,
Malcolm X Square,,,,
Presidio Terrace,,,,
Glenridge Cooperative,,,,
Pacific Heights,,,,
Laguna Heights,,,,
Victoria Mews,,,,
North Point Public Housing,,,,
Western Addition,,,,
Potrero Hill,,,,
Japantown,,,,
Marcus Garvey Square,,,,
Thomas Paine Square,,,,
Mission District,,,,
North Beach,,,,
Martin Luther King Square,,,,
Forest Hill,,,,
Jordan Park,,,,
Arco,,,,
24th Street Mission,,,,
Civic Center,,,,
Embarcadero,,,,
Phillip Burton,,,,
Pops,2800,24th Street,,
Civic Center Garage,355,McAllister Street,San Francisco,94102
Uptown,200,Capp Street,,
Kilowatt,3160,16th Street,San Francisco,94103
Right of Way & 18th Street,,,,
The Wooden Nickel,1900,Folsom Street,,
John O'Connell High School,,,,
Shotwell's,3349,20th Street,San Francisco,94110
Verdi Club,2424,Mariposa Street,,94110
Mel's Drive-in,,,,
San Francisco 4th & King Street,,,,
Saint Anthony - Immaculate Conception,,,,
Starbucks,2222,Fillmore Street,San Francisco,94115
Blue Bottle,,,,
Safeway,298,King Street,San Francisco,94107
23rd Street,,,,
Marin Street,,,,
Elixir,3200,16th Street,San Francisco,
Shell,,,,
